start,end,keyDownNormal,keyDownDel,keyDownCtrl,keyDownNav,mouseDown,fixationSource,fixationTarget,state
1402994470188,1402994470688,0,0,0,0,0,0,0,H1
1402994470688,1402994471188,0,0,0,0,0,0,0,H1
1402994471188,1402994471688,0,0,0,0,0,1,1,H1
1402994471688,1402994472188,0,0,0,0,0,3,0,H1
1402994472188,1402994472688,0,0,0,0,0,0,1,H1
1402994472688,1402994473188,0,0,0,0,0,0,2,H1
1402994473188,1402994473688,0,0,0,0,0,1,1,H1
1402994473688,1402994474188,0,0,0,0,0,2,0,H1
1402994474188,1402994474688,2,0,0,0,0,0,1,H1
1402994474688,1402994475188,2,0,0,0,0,0,0,H1
1402994475188,1402994475688,2,0,0,0,0,0,0,H1
1402994475688,1402994476188,4,0,0,0,0,0,0,H1
1402994476188,1402994476688,0,0,0,1,0,0,2,H0
1402994476688,1402994477188,0,0,0,1,0,0,2,H0
1402994477188,1402994477688,0,0,0,15,0,0,1,H0
1402994477688,1402994478188,0,0,0,1,0,1,1,H0
1402994478188,1402994478688,0,0,0,0,0,2,0,H1
1402994478688,1402994479188,0,0,0,0,0,1,2,H1
1402994479188,1402994479688,0,0,0,0,0,0,2,H1
1402994479688,1402994480188,0,0,0,0,0,0,1,H1
1402994480188,1402994480688,0,0,0,0,0,0,1,H1
1402994480688,1402994481188,0,0,0,0,0,0,2,H1
1402994481188,1402994481688,0,0,0,0,0,3,0,H1
1402994481688,1402994482188,0,0,0,0,0,0,2,H1
1402994482188,1402994482688,0,0,0,0,0,0,1,H1
1402994482688,1402994483188,0,0,0,0,1,0,1,H2
1402994483188,1402994483688,0,0,0,0,0,0,1,H1
1402994483688,1402994484188,1,0,1,0,0,0,0,H2
1402994484188,1402994484688,0,0,0,0,0,0,0,H1
1402994484688,1402994485188,0,0,0,0,0,0,0,H1
1402994485188,1402994485688,0,0,0,0,0,0,0,H1
1402994485688,1402994486188,0,0,0,0,0,0,0,H1
1402994486188,1402994486688,0,0,0,0,0,0,0,H1
1402994486688,1402994487188,0,0,0,0,0,0,0,H1
1402994487188,1402994487688,0,0,0,0,0,0,0,H1
1402994487688,1402994488188,0,0,0,0,0,0,0,H1
1402994488188,1402994488688,0,0,0,0,0,0,0,H1
1402994488688,1402994489188,0,0,0,0,0,1,0,H1
1402994489188,1402994489688,0,0,0,0,0,0,0,H1
1402994489688,1402994490188,0,0,0,0,0,0,0,H1
1402994490188,1402994490688,0,0,0,0,0,0,0,H1
1402994490688,1402994491188,0,0,0,0,0,0,0,H1
1402994491188,1402994491688,0,0,0,0,0,0,0,H1
1402994491688,1402994492188,0,0,0,0,0,0,0,H1
1402994492188,1402994492688,0,0,0,0,0,0,0,H1
1402994492688,1402994493188,0,0,0,0,0,0,0,H1
1402994493188,1402994493688,0,0,0,0,0,0,0,H1
1402994493688,1402994494188,0,0,0,0,0,1,0,H1
1402994494188,1402994494688,0,0,0,0,0,0,0,H1
1402994494688,1402994495188,0,0,0,0,0,2,2,H1
1402994495188,1402994495688,0,0,0,0,0,0,0,H1
1402994495688,1402994496188,0,0,0,0,0,1,4,H1
1402994496188,1402994496688,0,0,0,0,0,0,0,H1
1402994496688,1402994497188,0,0,0,0,0,2,0,H1
1402994497188,1402994497688,0,0,0,0,0,0,0,H1
1402994497688,1402994498188,0,0,0,0,0,1,2,H1
1402994498188,1402994498688,0,0,0,0,0,0,0,H1
1402994498688,1402994499188,0,0,0,0,0,0,1,H1
1402994499188,1402994499688,0,0,0,0,0,0,0,H1
