start,end,keyDownNormal,keyDownDel,keyDownCtrl,keyDownNav,mouseDown,fixationSource,fixationTarget
1402647033406,1402647033906,0,0,0,0,0,0,0
1402647033906,1402647034406,0,0,0,0,0,0,0
1402647034406,1402647034906,0,0,0,0,0,0,0
1402647034906,1402647035406,0,0,0,0,0,0,1
1402647035406,1402647035906,0,0,0,0,0,0,1
1402647035906,1402647036406,0,0,0,0,0,0,0
1402647036406,1402647036906,0,0,0,0,0,0,0
1402647036906,1402647037406,0,0,0,0,0,0,1
1402647037406,1402647037906,0,0,0,0,0,0,1
1402647037906,1402647038406,0,0,0,0,0,0,1
1402647038406,1402647038906,0,0,0,0,0,0,1
1402647038906,1402647039406,0,0,0,0,0,0,0
1402647039406,1402647039906,0,0,0,0,0,0,1
1402647039906,1402647040406,0,0,0,0,0,0,0
1402647040406,1402647040906,0,0,0,0,0,0,0
1402647040906,1402647041406,0,0,0,0,0,0,0
1402647041406,1402647041906,0,0,0,0,0,0,1
1402647041906,1402647042406,0,0,0,0,0,2,0
1402647042406,1402647042906,0,0,0,0,0,0,0
1402647042906,1402647043406,0,0,0,0,0,0,1
1402647043406,1402647043906,0,0,0,0,0,0,0
1402647043906,1402647044406,0,0,0,0,1,0,0
1402647044406,1402647044906,2,0,0,0,0,0,1
1402647044906,1402647045406,2,0,0,0,0,0,0
1402647045406,1402647045906,1,1,0,0,0,0,1
1402647045906,1402647046406,3,0,0,0,0,0,1
1402647046406,1402647046906,2,0,0,0,0,0,2
1402647046906,1402647047406,0,0,0,0,0,0,0
1402647047406,1402647047906,0,0,0,0,0,0,1
1402647047906,1402647048406,0,0,0,0,0,0,1
1402647048406,1402647048906,0,0,0,0,0,1,0
1402647048906,1402647049406,0,0,0,0,1,0,0
1402647049406,1402647049906,0,0,0,0,0,0,0
1402647049906,1402647050406,0,0,0,0,0,0,0
1402647050406,1402647050906,0,0,0,0,0,0,1
1402647050906,1402647051406,0,0,0,0,0,0,1
1402647051406,1402647051906,1,0,0,0,0,0,0
1402647051906,1402647052406,7,0,0,0,0,0,0
1402647052406,1402647052906,1,0,0,0,0,1,1
1402647052906,1402647053406,0,0,0,0,0,0,0
1402647053406,1402647053906,0,0,0,0,0,0,0
1402647053906,1402647054406,0,0,0,0,0,0,1
1402647054406,1402647054906,0,0,0,0,1,1,0
1402647054906,1402647055406,0,0,0,0,0,0,0
1402647055406,1402647055906,0,0,0,0,0,0,0
1402647055906,1402647056406,0,0,0,0,0,0,3
1402647056406,1402647056906,0,0,0,0,0,0,1
1402647056906,1402647057406,0,0,0,0,0,2,0
1402647057406,1402647057906,0,0,0,0,0,0,3
1402647057906,1402647058406,0,0,0,0,0,0,2
1402647058406,1402647058906,0,0,0,0,0,0,2
1402647058906,1402647059406,0,0,0,0,1,0,0
1402647059406,1402647059906,1,0,0,0,0,0,0
1402647059906,1402647060406,0,0,0,0,0,0,0
1402647060406,1402647060906,4,0,0,0,0,0,0
1402647060906,1402647061406,0,3,0,0,0,0,0
1402647061406,1402647061906,0,1,0,0,0,0,0
1402647061906,1402647062406,2,0,0,0,0,0,0
1402647062406,1402647062906,6,0,0,0,0,0,1
1402647062906,1402647063406,3,0,0,0,0,0,1
1402647063406,1402647063906,0,0,0,0,0,0,0
1402647063906,1402647064406,0,0,0,0,0,0,2
1402647064406,1402647064906,0,3,0,0,0,0,1
1402647064906,1402647065406,0,3,0,0,0,2,0
1402647065406,1402647065906,0,2,0,0,0,1,0
1402647065906,1402647066406,0,2,0,0,0,0,0
1402647066406,1402647066906,0,2,0,0,0,0,0
1402647066906,1402647067406,0,0,0,3,0,0,1
1402647067406,1402647067906,0,0,0,2,0,0,0
1402647067906,1402647068406,0,0,0,1,0,0,3
1402647068406,1402647068906,1,0,0,0,0,0,0
1402647068906,1402647069406,0,1,0,0,0,1,0
1402647069406,1402647069906,0,0,0,0,0,0,1
1402647069906,1402647070406,0,0,0,0,0,0,0
1402647070406,1402647070906,0,0,0,0,0,1,1
1402647070906,1402647071406,0,0,0,0,1,2,0
1402647071406,1402647071906,0,0,0,0,0,0,1
1402647071906,1402647072406,0,0,0,0,0,0,0
1402647072406,1402647072906,0,0,0,0,0,0,0
1402647072906,1402647073406,0,0,0,0,0,0,2
1402647073406,1402647073906,0,0,0,0,1,0,1
1402647073906,1402647074406,0,0,0,0,1,0,0
1402647074406,1402647074906,0,0,0,0,0,0,1
1402647074906,1402647075406,0,1,0,0,0,0,0
1402647075406,1402647075906,0,4,0,0,0,0,1
1402647075906,1402647076406,0,5,0,0,0,0,2
1402647076406,1402647076906,0,1,0,0,0,0,1
1402647076906,1402647077406,1,0,0,0,0,0,1
1402647077406,1402647077906,0,0,0,0,0,0,1
1402647077906,1402647078406,0,0,0,0,1,0,0
1402647078406,1402647078906,0,0,0,0,0,0,0
1402647078906,1402647079406,0,0,0,1,0,0,1
1402647079406,1402647079906,0,1,0,0,0,0,1
1402647079906,1402647080406,0,0,0,0,0,0,1
1402647080406,1402647080906,0,0,0,0,0,0,1
1402647080906,1402647081406,0,0,0,0,1,0,0
1402647081406,1402647081906,0,0,0,0,0,0,0
1402647081906,1402647082406,0,0,0,0,0,2,1
1402647082406,1402647082906,0,0,0,0,0,0,1
1402647082906,1402647083406,0,0,0,0,0,0,1
1402647083406,1402647083906,0,0,0,0,1,0,0
1402647083906,1402647084406,0,0,0,0,0,1,1
1402647084406,1402647084906,0,0,0,0,0,3,0
1402647084906,1402647085406,0,0,0,0,0,1,0
1402647085406,1402647085906,0,0,0,0,0,0,0
1402647085906,1402647086406,0,0,0,0,0,2,0
1402647086406,1402647086906,0,0,0,0,0,0,0
1402647086906,1402647087406,0,0,0,1,0,0,1
1402647087406,1402647087906,0,0,0,1,0,0,1
1402647087906,1402647088406,1,1,0,0,0,0,0
1402647088406,1402647088906,0,0,0,0,0,0,0
1402647088906,1402647089406,3,0,0,0,0,0,0
1402647089406,1402647089906,3,0,0,0,0,0,0
1402647089906,1402647090406,0,0,0,0,0,0,1
